x,y,z,date,designator,x_led,y_led,time_delta,driver_number
1204,5299,0,2023-08-27T12:09:13.994000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:14.194000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:14.434000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:14.774000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:09:15.014000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:15.234000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:15.614000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:09:15.774000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:16.274000+00:00,U53,1086,5212,500,1
1204,5299,0,2023-08-27T12:09:16.534000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:16.814000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:17.174000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:17.494000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:17.894000+00:00,U53,1086,5212,400,1
1204,5299,0,2023-08-27T12:09:18.294000+00:00,U53,1086,5212,400,1
1204,5299,0,2023-08-27T12:09:18.534000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:18.714000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:18.894000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:19.214000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:19.534000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:19.753000+00:00,U53,1086,5212,219,1
1204,5299,0,2023-08-27T12:09:19.994000+00:00,U53,1086,5212,241,1
1204,5299,0,2023-08-27T12:09:20.234000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:20.494000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:20.794000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:21.174000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:09:21.354000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:21.574000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:21.754000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:21.914000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:22.034000+00:00,U53,1086,5212,120,1
1204,5299,0,2023-08-27T12:09:22.254000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:22.514000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:22.814000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:23.014000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:23.074000+00:00,U53,1086,5212,60,1
1204,5299,0,2023-08-27T12:09:23.434000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:23.634000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:23.874000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:24.074000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:24.194000+00:00,U53,1086,5212,120,1
1204,5299,0,2023-08-27T12:09:24.394000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:24.554000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:24.914000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:25.134000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:25.414000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:25.614000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:25.934000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:26.333000+00:00,U53,1086,5212,399,1
1204,5299,0,2023-08-27T12:09:26.654000+00:00,U53,1086,5212,321,1
1204,5299,0,2023-08-27T12:09:27.094000+00:00,U53,1086,5212,440,1
1204,5299,0,2023-08-27T12:09:27.294000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:27.514000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:27.934000+00:00,U53,1086,5212,420,1
1204,5299,0,2023-08-27T12:09:28.274000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:09:28.534000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:28.974000+00:00,U53,1086,5212,440,1
1204,5299,0,2023-08-27T12:09:29.234000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:29.494000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:29.694000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:30.214000+00:00,U53,1086,5212,520,1
1204,5299,0,2023-08-27T12:09:30.414000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:30.834000+00:00,U53,1086,5212,420,1
1204,5299,0,2023-08-27T12:09:31.154000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:31.434000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:31.694000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:31.994000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:32.234000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:32.354000+00:00,U53,1086,5212,120,1
1204,5299,0,2023-08-27T12:09:32.514000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:32.754000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:32.913000+00:00,U53,1086,5212,159,1
1204,5299,0,2023-08-27T12:09:33.174000+00:00,U53,1086,5212,261,1
1204,5299,0,2023-08-27T12:09:33.394000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:33.554000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:33.774000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:33.994000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:34.174000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:34.494000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:34.654000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:34.934000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:35.174000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:35.514000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:09:35.774000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:36.134000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:36.394000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:36.674000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:36.894000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:37.054000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:37.274000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:37.474000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:37.694000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:37.934000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:38.374000+00:00,U53,1086,5212,440,1
1204,5299,0,2023-08-27T12:09:38.574000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:38.734000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:38.994000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:39.294000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:39.573000+00:00,U53,1086,5212,279,1
1204,5299,0,2023-08-27T12:09:39.734000+00:00,U53,1086,5212,161,1
1204,5299,0,2023-08-27T12:09:40.034000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:40.214000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:40.454000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:40.814000+00:00,U53,1086,5212,360,1
909,4532,0,2023-08-27T12:09:41.014000+00:00,U51,755,4396,200,44
1204,5299,0,2023-08-27T12:09:41.014000+00:00,U53,1086,5212,200,1
920,4561,0,2023-08-27T12:09:41.254000+00:00,U51,755,4396,240,44
1204,5299,0,2023-08-27T12:09:41.254000+00:00,U53,1086,5212,240,1
923,4569,0,2023-08-27T12:09:41.314000+00:00,U52,920,4804,60,44
1204,5299,0,2023-08-27T12:09:41.314000+00:00,U53,1086,5212,60,1
937,4606,0,2023-08-27T12:09:41.574000+00:00,U52,920,4804,260,44
1204,5299,0,2023-08-27T12:09:41.574000+00:00,U53,1086,5212,260,1
948,4634,0,2023-08-27T12:09:41.794000+00:00,U52,920,4804,220,44
1204,5299,0,2023-08-27T12:09:41.794000+00:00,U53,1086,5212,220,1
964,4676,0,2023-08-27T12:09:42.074000+00:00,U52,920,4804,280,44
1204,5299,0,2023-08-27T12:09:42.074000+00:00,U53,1086,5212,280,1
982,4726,0,2023-08-27T12:09:42.474000+00:00,U52,920,4804,400,44
1204,5299,0,2023-08-27T12:09:42.474000+00:00,U53,1086,5212,400,1
991,4749,0,2023-08-27T12:09:42.814000+00:00,U52,920,4804,340,44
1204,5299,0,2023-08-27T12:09:42.814000+00:00,U53,1086,5212,340,1
997,4765,0,2023-08-27T12:09:42.994000+00:00,U52,920,4804,180,44
1204,5299,0,2023-08-27T12:09:42.994000+00:00,U53,1086,5212,180,1
1003,4780,0,2023-08-27T12:09:43.174000+00:00,U52,920,4804,180,44
1204,5299,0,2023-08-27T12:09:43.174000+00:00,U53,1086,5212,180,1
1009,4797,0,2023-08-27T12:09:43.374000+00:00,U52,920,4804,200,44
1204,5299,0,2023-08-27T12:09:43.374000+00:00,U53,1086,5212,200,1
1023,4832,0,2023-08-27T12:09:43.674000+00:00,U52,920,4804,300,44
1204,5299,0,2023-08-27T12:09:43.674000+00:00,U53,1086,5212,300,1
